ID (ignore_column),Source,Reference,Translation,Error1_Type,Error1_Severity,Error2_Type,Error2_Severity,Error3_Type,Error3_Severity,Error4_Type,Error4_Severity,Error5_Type,Error5_Severity,Computed_scores,Human_scores,Full_scores,model
0.0007898144058,"As soon as you get out of the current, swimming back is no more difficult than normally.","તમે પ્રવાહમાંથી બહાર આવો પછી, પાછા તરવું એ સામાન્ય રીતે હોય તેના કરતાં વધારે મુશ્કેલ નથી.",તમે પ્રવાહમાંથી બહાર નીકળો કે તરત જ પાછા તરવું સામાન્ય કરતાં વધુ મુશ્કેલ નથી.,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,25,23,25,bing_api
0.0008101815565,"Some roads have been damaged, railway service interrupted in the affected areas, and the Noto Airport in Ishikawa prefecture remains closed.","અસરગ્રસ્ત વિસ્તારોમાં કેટલાક માર્ગોને નુક્શાન થયું છે, રેલવે સેવાઓ અવરોધિત છે અને ઇશિકાવા પ્રીફેક્ચરમાંનું નોટો વિમાનમથક બંધ છે.","કેટલાક રસ્તાઓને નુકસાન પહોંચ્યું છે, અસરગ્રસ્ત વિસ્તારોમાં રેલ્વે સેવા વિક્ષેપિત થઈ છે અને ઇશીકાવા પ્રાંતમાં નોટો એરપોર્ટ બંધ છે.",Accuracy_Mistranslation,Low,Fluency_Spelling,Low,Default,Default,Default,Default,Default,Default,23,22,23,google_api
0.0008393800641,This too can be borrowed from the stock at the entrance but that clothing isn't washed after every user so you may not feel comfortable wearing these skirts. One size fits all for men!,આ કપડાં પણ પ્રવેશ પરના સ્ટોકમાંથી ઉધાર લઈ શકાય છે પરંતુ તે દરેક વપરાશકર્તાના વપરાશ પછી ધોવાતા નથી તો કદાચ તમે આ સ્કર્ટ પહેરવામાં આરામદાયક નહી અનુભવો. પુરુષો માટે એક કદ બધાને બંધ બેસશે!,આ પણ પ્રવેશદ્વાર પરના શેરમાંથી ઉધાર લઈ શકાય છે પરંતુ તે કપડાં દરેક વપરાશકર્તા પછી ધોવાતા નથી જેથી તમે આ સ્કર્ટ પહેરવામાં આરામદાયક ન અનુભવો. એક કદ બધા પુરુષો માટે બંધબેસે છે!,Accuracy_Mistranslation,Low,Accuracy_Omission,Low,Default,Default,Default,Default,Default,Default,23,20,23,google_api
0.001426638568,"The qualities that determine a subculture as distinct may be linguistic, aesthetic, religious, political, sexual, geographical, or a combination of factors.","પેટાસંસ્કૃતિને અલગ રીતે નક્કી કરતા ગુણો ભાષાકીય, સૌંદર્યપ્રસાધન, ધાર્મિક, રાજકીય, જાતીય, ભૌગોલિક અથવા પરિબળોનું સંયોજન હોઈ શકે છે.","ગુણો કે જે ઉપસંસ્કૃતિને અલગ તરીકે નક્કી કરે છે તે ભાષાકીય, સૌંદર્યલક્ષી, ધાર્મિક, રાજકીય, જાતીય, ભૌગોલિક અથવા પરિબળોનું સંયોજન હોઈ શકે છે.",Style_Awkward,Very Low,Default,Default,Default,Default,Default,Default,Default,Default,24.5,24,24.5,google_api
0.001502406703,"It's expected that most event tickets will cost between ¥2,500 and ¥130,000, with typical tickets costing around ¥7,000.","એવી અપેક્ષા રાખવામાં આવે છે કે મોટા ભાગની ઇવેન્ટ ટિકિટની કિંમત ¥2,500 થી ¥130,000 વચ્ચે હશે, જેમાં સામાન્ય ટિકિટોની કિંમત ¥7,000 ની આસપાસ હશે.","એવી અપેક્ષા છે કે મોટાભાગની ઇવેન્ટ ટિકિટોની કિંમત ¥2,500 થી ¥130,000 ની વચ્ચે હશે, જેમાં લાક્ષણિક ટિકિટોની કિંમત આશરે ¥7,000 ની આસપાસ હશે.",Transliteration,Very Low,Terminology_Inappropriate,Very Low,Default,Default,Default,Default,Default,Default,24,22,24,bing_api
0.001522093688,"Professor Pamela Ferguson of the University of Dundee notes ""journalists do seem to be walking a dangerous line if publishing photos etc of suspects.""","ડંડી યુનિવર્સિટીના પ્રાધ્યાપક પામેલા ફર્ગ્યુસન નોંધે છે કે ""જો શંકાસ્પદોના ફોટા વગેરેનું પ્રકાશન થતું હોય તો પત્રકારો ભયજનક રેખા પર ચાલતા હોય તેમ લાગે છે.""","ડંડી યુનિવર્સિટીના પ્રોફેસર પામેલા ફર્ગ્યુસન નોંધે છે કે ""જો શંકાસ્પદ લોકોના ફોટા વગેરે પ્રકાશિત કરે તો પત્રકારો જોખમી રેખા પર ચાલતા હોય તેવું લાગે છે.""",Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,25,25,25,bing_api
0.001602586895,"Around the old Medina it's easy to find places selling traditional Moroccan goods, such as tagines, pottery, leather goods, hookahs, and a whole spectrum of geegaws, but it's all for the tourists.","જૂના મદીનાની આસપાસ ટેગીન્સ, માટીના વાસણો, ચામડાની ચીજવસ્તુઓ, હુક્કા અને ગીગાવ જેવી પરંપરાગત મોરોક્કન ચીજવસ્તુઓનું વહેંચવા વાળી દુકાન શોધવી સરળ છે, પરંતુ આ બધુ પ્રવાસીઓ માટે છે.","જૂની મીડિનાનીઆસપાસ પરંપરાગત મોરોક્કનનો સામાન, જેમ કે ટેગન, કુટેરી, ચર્મ, હુકા અને ગીગાવોના સંપૂર્ણ સ્પેક્ટ્રમ વેચવાનાસ્થળોને શોધવા સરળ છે, પરંતુ આ બધું પર્યટકો માટે છે.",Fluency_Spelling,Medium,Accuracy_Mistranslation,Low,Accuracy_Mistranslation,Very Low,Accuracy_Mistranslation,Medium,Accuracy_Mistranslation,Medium,17.5,10,17.5,cvit_iiith
0.002653207001,Sharing a field trip virtually is also a great way to reflect a on a trip and share experiences with future classes.,ફિલ્ડ ટ્રીપની માહિતી વર્ચ્યુઅલી વહેંચવું પ્રવાસ પર ફરી વિચાર કરવા અને એ ભવિષ્યના વર્ગો સાથે અનુભવો વહેંચવાનો શ્રેષ્ઠ માર્ગ છે.,"પ્રધાનમંત્રીએ જણાવ્યું હતું કે, ફિલ્ડ ટ્રિપનું વર્ચ્યુઅલ માધ્યમથી આદાન-પ્રદાન કરવામાં આવે છે અને ભવિષ્યનાં વર્ગો સાથે અનુભવોનું આદાન-પ્રદાન કરવામાં આવે છે.",Non-translation,Very High,Source_error,Very Low,Default,Default,Default,Default,Default,Default,-100,10,-100,cvit_iiith
0.002786130231,"In addition, be aware that odors attract bears and other wildlife, so avoid carrying or cooking odorous foods and keep a clean camp.","આ ઉપરાંત, ધ્યાન રાખો કે રીછ અને અન્ય વન્યપ્રાણીઓ સુગંધથી આકર્ષિત થાય છે, તેથી સુગંધિત ખોરાક રાંધવો નહી કે પોતાની સાથે લઈ ન જવો, અને શિબિર સ્વચ્છ રાખવી.","વધુમાં, એ બાબતની પણ જાણકારી રાખો કે ઓડર્સ રીંછ અને અન્ય વન્ય જીવોને આકર્ષિત કરે છે, જેથી દૂષિત ભોજન લઈ જવાથી બચો અને રાંધતા રહેવાથી બચો અને સ્વચ્છ કેમ્પ રાખી શકાય.",Accuracy_Untranslated_text,Low,Accuracy_Mistranslation,Low,Fluency_Grammar,Low,Fluency_Grammar,Low,Accuracy_Mistranslation,Low,20,15,20,cvit_iiith
0.003048976065,It was one of the major stops during Henry Louis Gates' PBS special Wonders of the African World.,હેન્રી લુઈસ ગેટ્સના પીબીએસ સ્પેશ્યલ વંડર્સ દરમિયાન આફ્રિકન વિશ્વની ખાસ અજાયબીઓમાંની એક હતી.,આફ્રિકન વિશ્વનાહેનરી લૂઇસ ગેટ્સના પીબીએસના વિશેષઅજાયબીઓ દરમિયાન તે એક મુખ્ય અવરોધ હતો.,Accuracy_Mistranslation,High,Fluency_Grammar,Medium,Fluency_Grammar,Very Low,Default,Default,Default,Default,18.5,15,18.5,google_api
0.004185375669,This will allow players to control actions and movements in video games by moving the device through the air.,ઉપકરણને હવામાં હલાવીને આ બાબત વિડીયો ગેમ્સમાં ક્રિયાઓ અને ગતિવિધિઓને નિયંત્રિત કરવા માટે પ્લેયરોને અનુમતિ આપે છે.,આ પ્લેયર્સને ઉપકરણને હવામાં ખસેડીને વિડિઓ ગેમ્સમાં ક્રિયાઓ અને હલનચલનને નિયંત્રિત કરવાની મંજૂરી આપશે.,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,25,23,25,google_api
0.004202142045,"In 1990, it was added to the list of world heritage sites in danger, due to the threat of desert sands.","1990માં, રણની રેતીના જોખમને કારણે, તે વિશ્વની જોખમમાં મૂકાયેલી હેરિટેજ સાઇટની સૂચિમાં ઉમેરાઈ હતી.",10માં તેને રણની રેતીના જોખમના કારણે જોખમમાં રહેલા વિશ્વ વારસાના સ્થળોની યાદીમાં સામેલ કરવામાં આવ્યું હતું.,Accuracy_Mistranslation,Medium,Default,Default,Default,Default,Default,Default,Default,Default,23,22,23,cvit_iiith
0.005983040554,"If you're not used to driving on country roads, keep your wits about you: steep grades, narrow lanes, and sharp curves predominate.","જો તમને દેશના રસ્તાઓ પર વાહન ચલાવવાની ટેવ ન પડે, તો તમારા વિશે તમારા ચતુરાઈ રાખો: અચાનક ગ્રેડ, સાંકડી ગલીઓ અને તીક્ષ્ણ વળાંક વધારે છે.","જો તમે દેશની સડકોપર ડ્રાઇવિંગ ન કરી શકો તો તમારી બાબતમાં પોતાની જાણકારી રાખો: સ્ટીપ ગ્રેડ, સાંકડી ગલીઓ અને તીવ્ર ચક્રો મુખ્ય છે.",Accuracy_Mistranslation,Medium,Fluency_Grammar,Low,Accuracy_Mistranslation,Low,Transliteration,Very Low,Accuracy_Mistranslation,Low,19.5,18,19.5,cvit_iiith
0.007351857004,"Downhill skiing as a sport goes back to at least the 17th century, and in 1861 the first recreational ski club was opened by Norwegians in Australia.","રમત તરીકે ડાઉનહિલ સ્કીઇંગ ઓછામાં ઓછી 17મી સદીમાં જૂની કહી શકાય, અને 1861માં પ્રથમ મનોરંજન સ્કી ક્લબ ઓસ્ટ્રેલિયામાં નોર્વેજીયન્સ દ્વારા ખોલવામાં આવી હતી.",રમત તરીકે ડાઉનહિલ સ્કીઈંગ ઓછામાં ઓછી 1મી સદી સુધી પહોંચી જાય છે અને 1861માં ઓસ્ટ્રેલિયામાં નોર્વેજિયનો દ્વારા પ્રથમ રીક્રેએશનલ સ્કી ક્લબ ખોલવામાં આવ્યું હતું.,Accuracy_Omission,Medium,Terminology_Inappropriate,Low,Default,Default,Default,Default,Default,Default,22,20,22,cvit_iiith
0.008453094319,"All of the cave entrances, which were named ""The Seven Sisters"", are at least 100 to 250 meters (328 to 820 feet) in diameter.","""ધ સેવન સિસ્ટર્સ"" નામકરણ થયેલી બધી ગુફાઓના પ્રવેશદ્વારનો વ્યાસ ઓછામાં ઓછો 100થી 250 મીટર (328 થી 820 ફૂટ) છે.",‘દ સેવ સિસ્ટર્સ’ નામની તમામ ગુફાઓના પ્રવેશદ્વારો ઓછામાં ઓછા 100 થી 250 મીટર (328 થી 820 ફૂટ) છે.,Fluency_Spelling,Very Low,Accuracy_Omission,Low,Default,Default,Default,Default,Default,Default,23.5,22,23.5,cvit_iiith
0.008898119837,Casablanca is one of the least interesting places to shop in all of Morocco.,કાસાબ્લાંક્રા સમગ્ર મોરક્કોમાં ખરીદી કરવા માટે સૌથી ઓછી રસપ્રદ જગ્યાઓમાંની એક છે.,કાસાબ્લાન્કા એ મોરોક્કોના બધામાંખરીદી કરવા માટેના સૌથી ઓછા રસપ્રદ સ્થળોમાંનું એક છે.,Accuracy_Addition,Very Low,Default,Default,Default,Default,Default,Default,Default,Default,24.5,22,24.5,bing_api
0.008903239593,"For example, the most common still image photography format in the world is 35mm, which was the dominant film size at the close of the analog film era.","ઉદાહરણ તરીકે, વિશ્વમાં સ્થિર છબીની ફોટોગ્રાફીનું સૌથી સામાન્ય ફૉર્મેટ 35 એમએમ છે, જે ઍનલૉગ ફિલ્મ યુગના અંતિમ ચરણમાં ફિલ્મનું પ્રભાવી કદ હતું.","ઉદાહરણ તરીકે, વિશ્વમાં સૌથી સામાન્ય સ્ટિલ ઈમેજ ફોટોગ્રાફી ફોર્મેટ 35 એમએમ છે, જે એનાલોગ ફિલ્મ યુગના અંતમાં મુખ્યફિલ્મ કદ હતું.",Terminology_Inappropriate,Very Low,Default,Default,Default,Default,Default,Default,Default,Default,24.5,23,24.5,IndicTrans_Samanantar
0.01030203978,"According to police, the driver of the vehicle that hit the photographer is unlikely to face criminal charges.","પોલીસના જણાવ્યા અનુસાર, ફોટોગ્રાફર સાથે અથડાયેલા વાહનના ડ્રાઇવરને ગુનાના આરોપનો સામનો કરવો પડે તેની સંભાવના નથી.","પોલીસ અનુસાર, ફોટોગ્રાફરને હિટ કરનાર વાહનના ડ્રાઇવરને ગુનાહિત આરોપોનો સામનો કરવો અશક્ય છે.",Accuracy_Addition,Medium,Accuracy_Addition,Very Low,Default,Default,Default,Default,Default,Default,22.5,20,22.5,mT5
