ID (ignore_column),Source,Reference,Translation,Error1_Type,Error1_Severity,Error2_Type,Error2_Severity,Error3_Type,Error3_Severity,Error4_Type,Error4_Severity,Error5_Type,Error5_Severity,Computed_scores,Human_scores,Full_scores,model
0.0007898144058,"As soon as you get out of the current, swimming back is no more difficult than normally.","जैसे ही आप धारा से निकल आते हैं, पीछे की ओर तैरने में कोई खास मुश्किल नहीं होती है.","जैसे ही आप करंटसे बाहर निकलते हैं, स्विमिंग बैकसामान्य से ज्यादा मुश्किल नहीं होती ।",Transliteration,Medium,Transliteration,Very High,Default,Default,Default,Default,Default,Default,18,17,18,bing_api
0.0008101815565,"Some roads have been damaged, railway service interrupted in the affected areas, and the Noto Airport in Ishikawa prefecture remains closed.","कुछ सड़कें क्षतिग्रस्त हो गई हैं, प्रभावित क्षेत्रों में रेल सेवा बाधित हुई, और इशिकावा प्रांत में नोटो हवाई अड्डा बंद है.","कुछ सड़कें क्षतिग्रस्त हो गई हैं, प्रभावित क्षेत्रों में रेल सेवा बाधित है और इशिकावा प्रान्त में नोटो हवाई अड्डा बंद है।",Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,25,25,25,google_api
0.0008393800641,This too can be borrowed from the stock at the entrance but that clothing isn't washed after every user so you may not feel comfortable wearing these skirts. One size fits all for men!,इसे प्रवेश द्वार पर रखे स्टॉक से भी लिया जा सकता है लेकिन उन कपड़ों को हर इस्तेमाल के बाद धोया नहीं जाता है इसलिए शायद आपको ये स्कर्ट पहनना सुविधाजनक न लगे. पुरुषों के लिए एक ही साइज़ उपलब्ध है.,"यह भी प्रवेश द्वार पर स्टॉक से उधार लिया जा सकता है लेकिन वह कपड़े हर उपयोगकर्ता के बाद नहीं धोए जाते हैं, इसलिए आप इन स्कर्टों को पहनने में सहज महसूस नहीं कर सकते हैं। पुरुषों के लिए एक आकारसभी फिट बैठता है!",Accuracy_Omission,High,Style_Awkward,Medium,Accuracy_Mistranslation,Medium,Transliteration,Low,Default,Default,16,15,16,google_api
0.001426638568,"The qualities that determine a subculture as distinct may be linguistic, aesthetic, religious, political, sexual, geographical, or a combination of factors.","वे गुण जो किसी उप-संस्कृति को अलग बनाते हैं, जैसे कि भाषा, सौंदर्य, धर्म, राजनीति, यौन, भूगोल या कई सारे कारकों का मिश्रण हो सकते हैं.","उपसंस्कृति को विशिष्ट रूप से निर्धारित करने वाले गुण भाषाई, सौंदर्य, धार्मिक, राजनीतिक, यौन, भौगोलिक या कारकों का संयोजन हो सकते हैं।",Accuracy_Mistranslation,Medium,Default,Default,Default,Default,Default,Default,Default,Default,23,22,23,google_api
0.001502406703,"It's expected that most event tickets will cost between ¥2,500 and ¥130,000, with typical tickets costing around ¥7,000.","यह उम्मीद है कि ईवेंट की अधिकांश टिकटों की कीमत ¥ 2,500 से ¥130,000 के बीच होगी, जिसमें प्ररूपी टिकटों की कीमत लगभग  ¥7,000 होगी।","यह उम्मीद की जा रही है कि अधिकांशइवेंट टिकट 2,500 और ‧ 130,000 के बीच खर्च होंगे, जिसमें विशिष्ट टिकटों की लागत लगभग 7,000 है।",Accuracy_Omission,Medium,Style_Awkward,Medium,Transliteration,Medium,Accuracy_Mistranslation,High,Default,Default,15,13,15,bing_api
0.001522093688,"Professor Pamela Ferguson of the University of Dundee notes ""journalists do seem to be walking a dangerous line if publishing photos etc of suspects.""","यूनिवर्सिटी ऑफ़ डंडी के प्रोफ़ेसर पामेला फ़र्ग्यूसन लिखते हैं, “अगर संदिग्धों के फ़ोटो आदि प्रकाशित होते हैं तो पत्रकारों को यह ख़तरनाक मार्ग पर चलना लगता है”.","डंडी विश्वविद्यालय के प्रोफेसर पामेला फर्गगुसन नोट""पत्रकारों को एक खतरनाक लाइन चलने लगता है अगर संदिग्धों की तस्वीरें आदि प्रकाशन.""",Transliteration,Very High,Accuracy_Mistranslation,Very High,Default,Default,Default,Default,Default,Default,15,7,15,bing_api
0.001602586895,"Around the old Medina it's easy to find places selling traditional Moroccan goods, such as tagines, pottery, leather goods, hookahs, and a whole spectrum of geegaws, but it's all for the tourists.","पुराने मदीना के आस-पास ऐसी जगहें आसानी से मिल जाती हैं जहां मोरक्को का परंपरागत सामान बेचा जाता है, जैसे कि ताजिन, पॉटरी, चमड़े का सामान, हुक्का, और जीजॉ का एक पूरा स्पेक्ट्रम, लेकिन यह सब पर्यटकों के लिए है.","पुराने मदीना के आस-पास पारंपरिक मोरक्कन सामान जैसे टैगिन, कुम्हार,चमड़ा सामान, हुकहों और गीगावोंका एक पूरा स्पेक्ट्रमबेचने वाली जगहों का पता लगाना आसान है, लेकिन यह सब पर्यटकों के लिए है।",Accuracy_Mistranslation,High,Fluency_Grammar,High,Fluency_Spelling,High,Transliteration,Very High,Transliteration,High,4,5,4,cvit_iiith
0.002653207001,Sharing a field trip virtually is also a great way to reflect a on a trip and share experiences with future classes.,असल में फील्ड ट्रिप साझा करना यात्रा पर विचार करने और भविष्य की कक्षाओं के साथ अनुभव करने का एक शानदार तरीका है.,फील्ड ट्रिप को आभासी रूप से साझा करना एक यात्रा और भावी वर्गोंके साथ अनुभवों को साझा करने का भी एक अच्छा तरीका है।,Accuracy_Omission,High,Style_Awkward,Very High,Accuracy_Mistranslation,Very High,Default,Default,Default,Default,11,12,11,cvit_iiith
0.002786130231,"In addition, be aware that odors attract bears and other wildlife, so avoid carrying or cooking odorous foods and keep a clean camp.","इसके अलावा, इस बात से अवगत रहें कि गंधक भालू और अन्य वन्यजीवों को आकर्षित करते हैं, इसलिए गंधयुक्त खाद्य पदार्थों को ले जाने या पकाने से बचें और शिविर साफ रखें।","साथ ही जानते रहेकि अजगर भालू और अन्य वन्यजीवों को आकर्षित करते हैं, इसलिए गंदेखाद्य पदार्थों को ले जाने या पकाने से बचें और स्वच्छ शिविर रखें।",Fluency_Grammar,High,Accuracy_Mistranslation,Very High,Default,Default,Default,Default,Default,Default,16,18,16,cvit_iiith
0.003048976065,It was one of the major stops during Henry Louis Gates' PBS special Wonders of the African World.,यह अफ्रीकी जगत के अजूबे हेनरी लुई के पीबीएस गेट्स के दौरान एक प्रमुख पड़ाव था।,हेनरी लुइस गेट्स के पीबीएस स्पेशल वंडर्स ऑफ द अफ्रीकन वर्ल्ड के दौरान यह प्रमुख पड़ावों में से एक था।,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,25,25,25,google_api
