ID (ignore_column),Source,Reference,Translation,Error1_Type,Error1_Severity,Error2_Type,Error2_Severity,Error3_Type,Error3_Severity,Error4_Type,Error4_Severity,Error5_Type,Error5_Severity,Computed_scores,Human_scores,Full_scores,model
0.0007898144058,"As soon as you get out of the current, swimming back is no more difficult than normally.","तुम्ही प्रवाहातून बाहेर पडल्यानंतर, मागे पोहत जाणे नेहमीपेक्षा कठीण नाही.","आपण प्रवाहातून बाहेर पडताच, परत पोहणे सामान्यांपेक्षाकठीण नाही.",Accuracy_Mistranslation,Very High,Fluency_Grammar,Low,Default,Default,Default,Default,Default,Default,19,18,19,bing_api
0.0008101815565,"Some roads have been damaged, railway service interrupted in the affected areas, and the Noto Airport in Ishikawa prefecture remains closed.","काही रस्त्यांचे नुकसान झाले आहे, प्रभावित क्षेत्रातील रेल्वे सेवा विस्कळीत झाली आहे आणि इशिगावा प्रीफेक्चरमधील नोतो विमानतळ बंद आहे.","काही रस्ते खराब झाले आहेत, बाधितभागात रेल्वेसेवा खंडित झाली आहे आणि इशिकावा प्रदेशातील नोटो विमानतळ बंदचआहे.",Accuracy_Mistranslation,Very Low,Accuracy_Mistranslation,Very Low,Fluency_Spelling,Very Low,Default,Default,Default,Default,23.5,22,23.5,google_api
0.0008393800641,This too can be borrowed from the stock at the entrance but that clothing isn't washed after every user so you may not feel comfortable wearing these skirts. One size fits all for men!,"हेदेखील प्रवेश द्वाराजवळ असलेल्या दुकानामधून उधारीवर घेतले जाऊ शकते मात्र, प्रत्येकवेळी वापरल्यानंतर ते कपडे धुतले जात नाहीत त्यामुळे तुम्हाला हे स्कर्ट घालून कदाचित सुखकर वाटणार नाही. एक माप सर्व पुरुषांना चालते!",हेदेखील प्रवेशद्वाराच्या स्टॉकमधून घेतले जाऊ शकते परंतु ते कपडे प्रत्येक वापरकर्त्याच्या नंतर धुऊन नाहीत जेणेकरून आपल्याला हे स्कर्ट घालण्यास आरामदायक वाटणार नाही. एक आकार पुरुषांसाठी सर्व फिट बसतो!,Non-translation,Default,Default,Default,Default,Default,Default,Default,Default,Default,0,0,0,google_api
0.001426638568,"The qualities that determine a subculture as distinct may be linguistic, aesthetic, religious, political, sexual, geographical, or a combination of factors.","उपसंस्कृतीला वेगळे ठरवणारे गुण भाषा, सौंदर्यात्मक, धार्मिक, लैंगिक, भौगोलिक किंवा विविध घटकांचा मिलाप असू शकतात.","उपसंस्कृती वेगळ्या म्हणून निश्चित करणारे गुण भाषिक, सौंदर्याचा, धार्मिक, राजकीय, लैंगिक, भौगोलिक किंवा घटकांचे संयोजन असू शकतात.",Accuracy_Mistranslation,High,Accuracy_Mistranslation,Medium,Terminology_Inappropriate,Medium,Default,Default,Default,Default,17,15,17,google_api
0.001502406703,"It's expected that most event tickets will cost between ¥2,500 and ¥130,000, with typical tickets costing around ¥7,000.","असे अपेक्षित आहे की, साधारण तिकिटांची किंमत ¥७,००० असण्यासह बऱ्याच कार्यक्रमांची तिकिटे ¥२,५०० आणि ¥१,३०,००० च्या दरम्यान असतील.","अशी अपेक्षा आहे की बहुतेक इव्हेंटतिकिटांची किंमत ¥२,५०० ते ¥१,३०,००० दरम्यान असेल, ज्याचीकिंमत सुमारे ¥७,००० आहे.",Transliteration,High,Accuracy_Omission,Very High,Fluency_Grammar,High,Fluency_Grammar,High,Default,Default,8,12,8,bing_api
0.001522093688,"Professor Pamela Ferguson of the University of Dundee notes ""journalists do seem to be walking a dangerous line if publishing photos etc of suspects.""","डंडी विद्यापीठाच्या प्राध्यापक पामेला फर्ग्युसन यांनी नोंदवले की,""पत्रकारांनी जर एखद्या संशयिताचा इत्यादी फोटो प्रकाशित केला तर ते धोकादायक रेषेवर चालत असल्यासारखे असते.""","डंडी विद्यापीठाच्या प्रोफेसर पामेला फर्ग्युसन म्हणतात, ""संशयितांचे फोटो वगैरे प्रकाशित केल्यास पत्रकार धोकादायक रेषेवर चालले लेकीतआहेत.""",Accuracy_Mistranslation,High,Accuracy_Addition,Very High,Default,Default,Default,Default,Default,Default,16,16,16,bing_api
0.001602586895,"Around the old Medina it's easy to find places selling traditional Moroccan goods, such as tagines, pottery, leather goods, hookahs, and a whole spectrum of geegaws, but it's all for the tourists.","जुन्या मेडिनाच्या आसपास टॅगिन (उत्तर अमेरिकेतील स्टू), मातीची भांडी, चामड्याच्या वस्तू, हुक्के आणि असंख्य शोभिवंत वस्तुंचा खजिना अशा पारंपरिक मोरक्कन वस्तुंची विक्री करणारी ठिकाणे शोधणे सोपे आहे, परंतु हे सर्व फक्त पर्यटकांसाठी आहे.","जुन्या मदिनाच्या आजूबाजूला पारंपरिक मोरोक्कन वस्तू, टॅगिन, मातीची भांडी, चामड्याच्या वस्तू, हुक्का आणि गीगवांचा संपूर्ण स्पेक्ट्रम विकणारी ठिकाणे शोधणे सोपे आहे, परंतु हे सर्व पर्यटकांसाठी आहे.",Accuracy_Mistranslation,High,Accuracy_Mistranslation,Very High,Default,Default,Default,Default,Default,Default,16,18,16,cvit_iiith
0.002653207001,Sharing a field trip virtually is also a great way to reflect a on a trip and share experiences with future classes.,एखाद्या फिल्ड ट्रीपची देव-घेव वर्चुअली करणे हा देखील त्या ट्रीपवर चर्चा करण्याचा आणि भविष्यातील वर्गांसोबत अनुभव वाटून घेण्याचा मस्त मार्ग आहे.,सहलीवर प्रतिबिंबित करण्याचा आणि भविष्यातील वर्गांसह अनुभव सामायिक करण्याचा एक चांगला मार्ग म्हणजे फील्ड ट्रिपसामायिक करणे.,Accuracy_Omission,Very High,Accuracy_Mistranslation,High,Transliteration,Medium,Default,Default,Default,Default,14,18,14,cvit_iiith
0.002786130231,"In addition, be aware that odors attract bears and other wildlife, so avoid carrying or cooking odorous foods and keep a clean camp.","याव्यतिरिक्त, अस्वले आणि इतर वन्य प्राण्यांना आकर्षित करणाऱ्या वासापासून सावध रहा, म्हणून शिजवलेले सुवासिक अन्न नेणे टाळा आणि कॅम्प स्वच्छ ठेवा.","याशिवाय, दुर्गंधी अस्वल आणि इतर वन्यजीवांना आकर्षित करते याची जाणीव ठेवा, म्हणून दुर्गंधीयुक्त पदार्थ वाहून नेणेकिंवा शिजवणे टाळा आणि स्वच्छ छावणी ठेवा.",Accuracy_Mistranslation,Medium,Fluency_Grammar,Very High,Accuracy_Mistranslation,Very High,Accuracy_Mistranslation,Very High,Default,Default,8,14,8,cvit_iiith
0.003048976065,It was one of the major stops during Henry Louis Gates' PBS special Wonders of the African World.,हा हेन्री लुई गेट्सच्या आफ्रिकन वर्ल्डच्या पीबीएस स्पेशल वंडर्स दरम्यानच्या प्रमुख स्टॉप्स पैकी 1 होता.,हेन्री लुई गेट्सच्या आफ्रिकन वर्ल्डच्या पीबीएस स्पेशल वंडरस दरम्यानचा हाएक मोठा थांबा होता.,Accuracy_Omission,Very High,Accuracy_Mistranslation,Very High,Fluency_Grammar,Medium,Fluency_Spelling,High,Default,Default,9,12,9,google_api
