ID (ignore_column),Source,Reference,Translation,Error1_Type,Error1_Severity,Error2_Type,Error2_Severity,Error3_Type,Error3_Severity,Error4_Type,Error4_Severity,Error5_Type,Error5_Severity,Computed_scores,Human_scores,Full_scores,model,
0.0007898144058,"As soon as you get out of the current, swimming back is no more difficult than normally.","ജലപ്രവാഹത്തിൽ നിന്ന് പുറത്ത് കടന്നാലുടൻ, തിരികെ നീന്തുന്നത് സാധാരണയുള്ളതിനേക്കാൾ വലിയ ബുദ്ധിമുട്ടുള്ള കാര്യമില്ല.","നിങ്ങൾ ഒഴുക്കിൽ നിന്ന് പുറത്തുകടക്കുമ്പോൾ, തിരികെ നീന്തുന്നത് സാധാരണയേക്കാൾ ബുദ്ധിമുട്ടല്ല.",Accuracy_Mistranslation,Medium,Default,Default,Default,Default,Default,Default,Default,Default,23,23,23,bing_api,1
0.0008101815565,"Some roads have been damaged, railway service interrupted in the affected areas, and the Noto Airport in Ishikawa prefecture remains closed.","ചില റോഡുകൾ‌ തകർ‌ന്നു, ദുരിതബാധിത പ്രദേശങ്ങളിൽ‌ റെയിൽ‌വേ സർവീസും തടസപ്പെട്ടു. ഇഷികാവ പ്രിഫെക്ചറിലെ നോട്ടോ വിമാനത്താവളം അടടഞ്ഞുകിടക്കുകയാണ്.","ചില റോഡുകൾ‌ തകർ‌ന്നു, ദുരിതബാധിത പ്രദേശങ്ങളിൽ‌ റെയിൽ‌വേ സർവീസ് തടസ്സപ്പെട്ടു, ഇഷികാവ പ്രിഫെക്ചറിലെ നോട്ടോ വിമാനത്താവളം അടച്ചിരിക്കുന്നു.",Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,25,25,25,google_api,2
0.0008393800641,This too can be borrowed from the stock at the entrance but that clothing isn't washed after every user so you may not feel comfortable wearing these skirts. One size fits all for men!,ഇതും പ്രവേശന കവാടത്തിലെ സ്റ്റോക്കിൽ നിന്ന് കടം മേടിക്കാൻ പറ്റും പക്ഷേ ഓരോരുത്തരും ഉപയോഗിച്ചശേഷം കഴുകാറില്ലാത്തതിനാൽ ഈ പാവാടകൾ ഇടുമ്പോൾ അത്ര സുഖകരമായി തോന്നില്ല. 1 സൈസ് എല്ലാ പുരുഷന്മാർക്കും ചേരും!,"ഇതും പ്രവേശന കവാടത്തിലെ സ്റ്റോക്കിൽ നിന്ന് കടമെടുക്കാം, പക്ഷേ ആ വസ്ത്രങ്ങൾ ഓരോ ഉപയോക്താവിനും ശേഷം കഴുകുന്നില്ല, അതിനാൽ നിങ്ങൾക്ക് ഈ പാവാട ധരിക്കാൻ സുഖമില്ല. ഒരു വലുപ്പം പുരുഷന്മാർക്ക് യോജിക്കുന്നു!",Accuracy_Mistranslation,Medium,Accuracy_Mistranslation,Medium,Default,Default,Default,Default,Default,Default,21,20,21,google_api,4
0.001426638568,"The qualities that determine a subculture as distinct may be linguistic, aesthetic, religious, political, sexual, geographical, or a combination of factors.","ഒരു ഉപസംസ്കാരത്തെ വേറിട്ടതായി നിർണ്ണയിക്കുന്ന ഗുണങ്ങൾ ഭാഷാപരമോ, സൗന്ദര്യാത്മകമമോ, മതപരമോ, രാഷ്ട്രീയപരമോ, ലൈംഗികപരമോ, ഭൂമിശാസ്ത്രപരമോ അല്ലെങ്കിൽ വിവിധ ഘടകങ്ങളുടെ സംയോജനമോ ആയിരിക്കാം.","ഒരു ഉപസംസ്കാരത്തെ വ്യതിരിക്തമായി നിർണ്ണയിക്കുന്ന ഗുണങ്ങൾഭാഷാപരമായ, സൗന്ദര്യാത്മക, മത, രാഷ്ട്രീയ, ലൈംഗിക, ഭൂമിശാസ്ത്രപരമായ അല്ലെങ്കിൽ ഘടകങ്ങളുടെസംയോജനമായിരിക്കാം.",Fluency_Grammar,High,Default,Default,Default,Default,Default,Default,Default,Default,21,15,21,google_api,5
0.001502406703,"It's expected that most event tickets will cost between ¥2,500 and ¥130,000, with typical tickets costing around ¥7,000.","മിക്ക ഇവന്റ് ടിക്കറ്റുകൾക്കും ¥2,500 മുതൽ ¥130,000 വരെ വിലയുണ്ടാകുമെന്ന് പ്രതീക്ഷിക്കുന്നു, സാധാരണ ടിക്കറ്റിന് ¥7,000 വിലവരും.","മിക്ക ഇവന്റ് ടിക്കറ്റുകൾക്കും ¥2,500 നും ¥130,000 നും ഇടയിൽ വിലവരുമെന്ന് പ്രതീക്ഷിക്കുന്നു, സാധാരണ ടിക്കറ്റുകൾക്ക് ഏകദേശം ¥7,000 വിലവരും.",Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,25,25,25,bing_api,1
0.001522093688,"Professor Pamela Ferguson of the University of Dundee notes ""journalists do seem to be walking a dangerous line if publishing photos etc of suspects.""","ഡണ്ടീ സർവകലാശാലയിലെ പ്രൊഫസ്സറായ പമേല ഫെർഗൂസൻ കുറിക്കുന്നു ""കുറ്റവാളിയെന്ന് ആരോപിക്കപ്പെട്ടവരുടെ ഫോട്ടോകൾ പ്രസിദ്ധീകരിക്കുമ്പോൾ മാധ്യമപ്രവർത്തകർ അപകടകരമായ ഒരു പാതയിലാണ് സഞ്ചരിക്കുന്നത്.""","ഡണ്ടി സർവകലാശാലയിലെ പ്രൊഫസർ പമേല ഫെർഗൂസൺ പറയുന്നു "" സംശയിക്കപ്പെടുന്നവരുടെ ഫോട്ടോകൾ തുടങ്ങിയവ പ്രസിദ്ധീകരിക്കുകയാണെങ്കിൽ പത്രപ്രവർത്തകർ അപകടകരമായ ഒരു വരിയിൽ നടക്കുന്നതായിതോന്നുന്നു.""",Accuracy_Mistranslation,High,Default,Default,Default,Default,Default,Default,Default,Default,21,20,21,bing_api,
0.001602586895,"Around the old Medina it's easy to find places selling traditional Moroccan goods, such as tagines, pottery, leather goods, hookahs, and a whole spectrum of geegaws, but it's all for the tourists.","പഴയ മദീനയ്ക്ക് ചുറ്റും മോറോക്കാൻ ഭക്ഷണപാത്രങ്ങൾ, മൺപാത്രങ്ങൾ, തുകൽ ഉൽപ്പന്നങ്ങൾ, ഹുക്കകൾ, കളിപ്പാട്ടങ്ങൾ എന്നിവ പോലുള്ള പരമ്പരാഗത മൊറോക്കൻ സാധനങ്ങൾ വിൽക്കുന്ന സ്ഥലങ്ങൾ കണ്ടെത്തുന്നത് എളുപ്പമാണ്, പക്ഷേ ഇതെല്ലാം വിനോദസഞ്ചാരികൾക്ക് വേണ്ടിയുള്ളതാണ്.","പഴയ മെദിനയുടെ അടുത്ത് പരന്പരാഗത മൊറോക്കന്‍ സാധനങ്ങള്‍ വില്‍ക്കുന്ന സ്ഥലങ്ങള്‍ കണ്ടുപിടിക്കാന്‍ എളുപ്പമാണ്. ടാഗൈന്‍, കന്പിളി, തുകല്‍ സാധനങ്ങള്‍, ഹൂക്കുകള്‍, മുഴുവന്‍ ജിഗാവുകള്‍മുതലായവ.",Accuracy_Mistranslation,High,Accuracy_Mistranslation,Very High,Default,Very High,Fluency_Grammar,Very High,Accuracy_Omission,Very High,6,10,6,cvit_iiith,
0.002653207001,Sharing a field trip virtually is also a great way to reflect a on a trip and share experiences with future classes.,ഒരു ഫീൽഡ് ട്രിപ്പ് ഫലത്തിൽ പങ്കിടുന്നത് ഒരു യാത്രയെ പ്രതിഫലിപ്പിക്കുന്നതിനും ഭാവി ക്ലാസുകളുമായി അനുഭവങ്ങൾ പങ്കിടുന്നതിനുമുള്ള ഒരു മികച്ച മാർഗമാണ്.,വിര്‍ച്വല്‍ രീതിയില്‍ ഒരു ഫീല്‍ഡ് സന്ദര്‍ശനം നടത്തുകയും ഭാവിതലമുറയുമായി അനുഭവങ്ങള്‍ പങ്കുവയ്ക്കുകയും ചെയ്യുന്ന ഒരു വലിയ വഴിയാണിത്.,Accuracy_Mistranslation,High,Fluency_Grammar,Medium,Accuracy_Omission,Very High,Default,Default,Default,Default,14,10,14,cvit_iiith,
0.002786130231,"In addition, be aware that odors attract bears and other wildlife, so avoid carrying or cooking odorous foods and keep a clean camp.","കൂടാതെ, ഗന്ധം കരടികളെയും മറ്റ് വന്യജീവികളെയും ആകർഷിക്കുമെന്ന ബോധം ഉണ്ടായിരിക്കണം, അതിനാൽ ഒരുപാട് മണമുള്ള ആഹാരം കൊണ്ട് പോകുന്നതോ പാചകം ചെയ്യുന്നതോ ഒഴിവാക്കുക, കൂടാതെ ക്യാംപ് വൃത്തിയുള്ളതായി സൂക്ഷിക്കുക.","ഇതുകൂടാതെ, കരടികളെയും മറ്റു വന്യജീവികളെയും ആകര്‍ഷിക്കുന്നതിനെക്കുറിച്ച് ബോധവല്‍ക്കരണം നടത്തുക, അഴുക്കന്‍ ഭക്ഷണം പാകം ചെയ്യാതിരിക്കുക, ശുദ്ധമായ ക്യാമ്പുകള്‍ സൂക്ഷിക്കുക.",Accuracy_Mistranslation,High,Accuracy_Omission,Medium,Accuracy_Mistranslation,High,Default,Default,Default,Default,15,18,15,cvit_iiith,
0.003048976065,It was one of the major stops during Henry Louis Gates' PBS special Wonders of the African World.,ഹെൻട്രി ലൂയിസ് ഗേറ്റ്സിന്റെ പിബിഎസ് സ്പെഷ്യൽ വണ്ടേഴ്‌സ് ഓഫ് ദി ആഫ്രിക്കൻ വേൾഡിന്റെ പ്രധാന സ്ഥലങ്ങളിൽ ഒന്നായിരുന്നു അത്.,ഹെൻ‌റി ലൂയിസ് ഗേറ്റ്‌സിന്റെ പി‌ബി‌എസ് പ്രത്യേക അത്ഭുതങ്ങളുടെ ആഫ്രിക്കൻ ലോകത്തിലെപ്രധാന സ്റ്റോപ്പുകളിലൊന്നായിരുന്നു ഇത്.,Accuracy_Mistranslation,Medium,Accuracy_Mistranslation,Medium,Default,Default,Default,Default,Default,Default,21,18,21,google_api,
